priority,previous_incidents,ticket_age_days,escalation_risk
LOW,0,1,LOW
LOW,0,2,LOW
LOW,1,3,LOW
LOW,1,5,LOW
LOW,2,6,LOW
MEDIUM,0,1,LOW
MEDIUM,1,2,MEDIUM
MEDIUM,1,4,MEDIUM
MEDIUM,2,5,MEDIUM
MEDIUM,3,7,MEDIUM
HIGH,0,1,MEDIUM
HIGH,1,2,MEDIUM
HIGH,2,3,HIGH
HIGH,3,5,HIGH
HIGH,4,7,HIGH
LOW,3,8,HIGH
MEDIUM,2,6,HIGH
HIGH,4,10,HIGH
HIGH,5,12,HIGH
MEDIUM,3,9,HIGH
LOW,0,2,LOW
LOW,2,4,MEDIUM
MEDIUM,0,8,MEDIUM
HIGH,2,3,HIGH
HIGH,4,6,HIGH
MEDIUM,1,4,MEDIUM
HIGH,5,15,HIGH
LOW,0,2,LOW
MEDIUM,2,7,MEDIUM
HIGH,6,20,HIGH
